,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
23,GSM8187355,0.999566376209259,GSE263190,Effect of whole-body deletion of Gclc on the liver,,,"The rate-limiting step in glutathione (GSH) synthesis is controlled by glutamate-cysteine ligase catalytic subunit. To investigate the impact of GSH in vivo, we induced a deletion of Gclc using a Gclcf/f Rosa26-CreERT2 mouse model and harvested liver tissue for analysis.",Liver tissue was harvested from WT and KO mice approximately two weeks after treatment with tamoxifen to induce Cre activity and Gclc deletion.,39034312,,,854534,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/29,32,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE263nnn/GSE263190/,Glutathione synthesis in the mouse liver supports lipid abundance through NRF2 repression.,Nature communications,2024 Jul 21,10.1038/s41467-024-50454-2,Space Flight
24,GSM8187357,0.9995622634887695,GSE263190,Effect of whole-body deletion of Gclc on the liver,,,"The rate-limiting step in glutathione (GSH) synthesis is controlled by glutamate-cysteine ligase catalytic subunit. To investigate the impact of GSH in vivo, we induced a deletion of Gclc using a Gclcf/f Rosa26-CreERT2 mouse model and harvested liver tissue for analysis.",Liver tissue was harvested from WT and KO mice approximately two weeks after treatment with tamoxifen to induce Cre activity and Gclc deletion.,39034312,,,854536,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/29,32,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE263nnn/GSE263190/,Glutathione synthesis in the mouse liver supports lipid abundance through NRF2 repression.,Nature communications,2024 Jul 21,10.1038/s41467-024-50454-2,Space Flight
25,GSM5993260,0.9995490312576294,GSE199899,mRNA transcription profiles of livers and tumors from C57BL/6J mice treated with or without diethylnitrosamine (DEN) and fed either a Western-style diet (WD) or Control diet (CD),,,"We used RNA-seq to measure mRNA levels of livers and liver tumors from mice treated with or without the chemical carcinogen diethylnitrosamine (DEN) and fed CD or obesogenic WD, with the aim to explore how metabolism in hepatic tissues and tumors (where present) is affected by diet, carcinogen treatment and tumor development. We used the RNA-seq data for differential gene expression analysis, and for the reconstruction and constraining of genome-scale metabolic models in order to estimate metabolic changes across tissues under the various treatment conditions.","Four experimental groups: [1]: nonDEN-CD (mice not injected with DEN, fed CD); [2]: nonDEN-WD (mice not injected with DEN, fed WD); [3]: DEN-CD (mice injected with DEN, fed CD); [4] DEN-WD (mice injected with DEN, fed WD and bearing liver tumors) Five types of tissues (i-v) analyzed from groups 1-4: (i) Group [1] liver; (ii) Group [2] liver; (iii) Group [3] liver; (iv) Group [4]-Peritumoral tissue; (v) Group [4] tumor",36844450,,,619265,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/01,25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199899/,Systematic diet composition swap in a mouse genome-scale metabolic model reveals determinants of obesogenic diet metabolism in liver cancer.,iScience,2023 Feb 17,10.1016/j.isci.2023.106040,Space Flight
26,GSM7090783,0.9995378851890564,GSE237080,ChREBP is activated by reductive stress and mediates GCKR-associated metabolic traits,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,38101397,,,739826,GPL19057; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/01/02,39,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237080/,ChREBP is activated by reductive stress and mediates GCKR-associated metabolic traits.,Cell metabolism,2024 Jan 2,10.1016/j.cmet.2023.11.010,Space Flight
27,GSM5068952,0.9995368719100952,GSE166353,IRF3-mediated pathogenicity in a murine model of human hepatitis A,,,"Hepatitis A virus (HAV), an hepatotropic picornavirus, is a common cause of acute hepatitis in human populations. Although responsible for considerable morbidity and mortality, the mechanisms underlying HAV-mediated liver injury are poorly understood. Ifnar1-/- mice are susceptible to HAV and when infected recapitulate cardinal features of hepatitis A in humans, including serum ALT elevation, hepatocellular apoptosis, and intrahepatic inflammatory cell infiltrates. In contrast, Mavs-/- mice, while equally permissive for infection, experience no liver injury. Previous studies indicate that HAV pathogenesis in Ifnar1-/- mice is dependent upon MAVS-IRF3 signaling, but leave unresolved the role of IRF3-mediated transcription versus non-transcriptional pro-apoptotic activity of activated IRF3 in HAV-induced liver disease. Here, we compared the intrahepatic transcriptomes of HAV-infected naïve Mavs-/- and Ifnar1-/- mice using high throughput RNA sequencing, and characterized IRF3-mediated transcriptional responses associated with hepatocyte apoptosis and liver inflammation.","Liver mRNA profiles of Ifnar1-/- ,Mavs-/- and Irf3S1/S1Ifnar1-/- mice 7 days or 14 days after HAV infection",34591933,,,459190,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/18,40,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166353/,IRF3-mediated pathogenicity in a murine model of human hepatitis A.,PLoS pathogens,2021 Sep,10.1371/journal.ppat.1009960,Space Flight
28,GSM2327520,0.9995336532592773,GSE87299,Transcriptome changes in mouse livers upon Bmal1 or Nr1d1 knock out and interactome of lnc-Crot by 4C-seq,,,"To explore the circadian regulations of Bmal1, we examined the transcriptome changes in mouse livers upon Bmal1 knock out at two circadian time points, CT0 and CT12. To explore the circadian regulations of Nr1d1, we examined the transcriptome changes in mouse livers upon Nr1d1 knock out at two circadian time points, CT0 and CT12. To explore interactome of lnc-Crot, 4C-seq was performed with lnc-Crot as bait region at CT6 and CT18.",RNA-seq of WT and KO at CT0 and CT12. 4C-seq at CT6 and CT18.,28335007,,,77558,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing; Other,2017/04/12,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87299/,A class of circadian long non-coding RNAs mark enhancers modulating long-range circadian gene regulation.,Nucleic acids research,2017 Jun 2,10.1093/nar/gkx156,Space Flight
29,GSM4387991,0.9995320439338684,GSE146508,Transcriptome and open chromatin analysis of 5-month mouse liver and blood by the TaRGET II consortium,,,"The TaRGET (Toxicant Exposures and Responses by Genomic and Epigenomic Regulators of Transcription) program is a research consortium funded by the National Institute of Environmental Health Sciences (NIEHS). The goal of the collaboration is to address the role of environmental exposures in disease pathogenesis as a function of epigenome perturbation, including understanding the environmental control of epigenetic mechanisms and assessing the utility of surrogate tissue analysis in mouse models of disease-relevant environmental exposures (https://targetepigenomics.org).",RNA-seq and ATAC-seq of liver and blood samples from 5-month mice that were subjected to disease-relevant environmental exposures. The TaRGET II consortium (https://targetepigenomics.org/about/),29509741,,,351452,GPL17021; GPL21103; GPL21493; GPL19057; GPL24247; GPL21273,Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2020/05/20,849,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146508/,The NIEHS TaRGET II Consortium and environmental epigenomics.,Nature biotechnology,2018 Mar 6,10.1038/nbt.4099,Space Flight
30,GSM4387988,0.9996140003204346,GSE146508,Transcriptome and open chromatin analysis of 5-month mouse liver and blood by the TaRGET II consortium,,,"The TaRGET (Toxicant Exposures and Responses by Genomic and Epigenomic Regulators of Transcription) program is a research consortium funded by the National Institute of Environmental Health Sciences (NIEHS). The goal of the collaboration is to address the role of environmental exposures in disease pathogenesis as a function of epigenome perturbation, including understanding the environmental control of epigenetic mechanisms and assessing the utility of surrogate tissue analysis in mouse models of disease-relevant environmental exposures (https://targetepigenomics.org).",RNA-seq and ATAC-seq of liver and blood samples from 5-month mice that were subjected to disease-relevant environmental exposures. The TaRGET II consortium (https://targetepigenomics.org/about/),29509741,,,351449,GPL17021; GPL21103; GPL21493; GPL19057; GPL24247; GPL21273,Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2020/05/20,849,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146508/,The NIEHS TaRGET II Consortium and environmental epigenomics.,Nature biotechnology,2018 Mar 6,10.1038/nbt.4099,Vivarium Control
31,GSM5993260,0.9995661973953247,GSE199899,mRNA transcription profiles of livers and tumors from C57BL/6J mice treated with or without diethylnitrosamine (DEN) and fed either a Western-style diet (WD) or Control diet (CD),,,"We used RNA-seq to measure mRNA levels of livers and liver tumors from mice treated with or without the chemical carcinogen diethylnitrosamine (DEN) and fed CD or obesogenic WD, with the aim to explore how metabolism in hepatic tissues and tumors (where present) is affected by diet, carcinogen treatment and tumor development. We used the RNA-seq data for differential gene expression analysis, and for the reconstruction and constraining of genome-scale metabolic models in order to estimate metabolic changes across tissues under the various treatment conditions.","Four experimental groups: [1]: nonDEN-CD (mice not injected with DEN, fed CD); [2]: nonDEN-WD (mice not injected with DEN, fed WD); [3]: DEN-CD (mice injected with DEN, fed CD); [4] DEN-WD (mice injected with DEN, fed WD and bearing liver tumors) Five types of tissues (i-v) analyzed from groups 1-4: (i) Group [1] liver; (ii) Group [2] liver; (iii) Group [3] liver; (iv) Group [4]-Peritumoral tissue; (v) Group [4] tumor",36844450,,,619265,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/01,25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199899/,Systematic diet composition swap in a mouse genome-scale metabolic model reveals determinants of obesogenic diet metabolism in liver cancer.,iScience,2023 Feb 17,10.1016/j.isci.2023.106040,Vivarium Control
32,GSM1782838,0.9995605945587158,GSE70484,Noncanonical Genomic Imprinting Effects In Offspring,,,"We report genomic imprinting effects in the arcuate nucleus, dorsal raphe nucleus, liver and muscle of adult female mice",Examination of allele-specific gene expression hybrid mice generated from reciprocal crosses of CastEiJ x C57BL/6J mice,26235621,,,36071,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2015/08/01,84,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70484/,Noncanonical Genomic Imprinting Effects in Offspring.,Cell reports,2015 Aug 11,10.1016/j.celrep.2015.07.017,Vivarium Control
33,GSM4387987,0.9995419979095459,GSE146508,Transcriptome and open chromatin analysis of 5-month mouse liver and blood by the TaRGET II consortium,,,"The TaRGET (Toxicant Exposures and Responses by Genomic and Epigenomic Regulators of Transcription) program is a research consortium funded by the National Institute of Environmental Health Sciences (NIEHS). The goal of the collaboration is to address the role of environmental exposures in disease pathogenesis as a function of epigenome perturbation, including understanding the environmental control of epigenetic mechanisms and assessing the utility of surrogate tissue analysis in mouse models of disease-relevant environmental exposures (https://targetepigenomics.org).",RNA-seq and ATAC-seq of liver and blood samples from 5-month mice that were subjected to disease-relevant environmental exposures. The TaRGET II consortium (https://targetepigenomics.org/about/),29509741,,,351448,GPL17021; GPL21103; GPL21493; GPL19057; GPL24247; GPL21273,Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2020/05/20,849,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146508/,The NIEHS TaRGET II Consortium and environmental epigenomics.,Nature biotechnology,2018 Mar 6,10.1038/nbt.4099,Vivarium Control
34,GSM5068952,0.9995359778404236,GSE166353,IRF3-mediated pathogenicity in a murine model of human hepatitis A,,,"Hepatitis A virus (HAV), an hepatotropic picornavirus, is a common cause of acute hepatitis in human populations. Although responsible for considerable morbidity and mortality, the mechanisms underlying HAV-mediated liver injury are poorly understood. Ifnar1-/- mice are susceptible to HAV and when infected recapitulate cardinal features of hepatitis A in humans, including serum ALT elevation, hepatocellular apoptosis, and intrahepatic inflammatory cell infiltrates. In contrast, Mavs-/- mice, while equally permissive for infection, experience no liver injury. Previous studies indicate that HAV pathogenesis in Ifnar1-/- mice is dependent upon MAVS-IRF3 signaling, but leave unresolved the role of IRF3-mediated transcription versus non-transcriptional pro-apoptotic activity of activated IRF3 in HAV-induced liver disease. Here, we compared the intrahepatic transcriptomes of HAV-infected naïve Mavs-/- and Ifnar1-/- mice using high throughput RNA sequencing, and characterized IRF3-mediated transcriptional responses associated with hepatocyte apoptosis and liver inflammation.","Liver mRNA profiles of Ifnar1-/- ,Mavs-/- and Irf3S1/S1Ifnar1-/- mice 7 days or 14 days after HAV infection",34591933,,,459190,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/18,40,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166353/,IRF3-mediated pathogenicity in a murine model of human hepatitis A.,PLoS pathogens,2021 Sep,10.1371/journal.ppat.1009960,Vivarium Control
35,GSM5068950,0.9995247721672058,GSE166353,IRF3-mediated pathogenicity in a murine model of human hepatitis A,,,"Hepatitis A virus (HAV), an hepatotropic picornavirus, is a common cause of acute hepatitis in human populations. Although responsible for considerable morbidity and mortality, the mechanisms underlying HAV-mediated liver injury are poorly understood. Ifnar1-/- mice are susceptible to HAV and when infected recapitulate cardinal features of hepatitis A in humans, including serum ALT elevation, hepatocellular apoptosis, and intrahepatic inflammatory cell infiltrates. In contrast, Mavs-/- mice, while equally permissive for infection, experience no liver injury. Previous studies indicate that HAV pathogenesis in Ifnar1-/- mice is dependent upon MAVS-IRF3 signaling, but leave unresolved the role of IRF3-mediated transcription versus non-transcriptional pro-apoptotic activity of activated IRF3 in HAV-induced liver disease. Here, we compared the intrahepatic transcriptomes of HAV-infected naïve Mavs-/- and Ifnar1-/- mice using high throughput RNA sequencing, and characterized IRF3-mediated transcriptional responses associated with hepatocyte apoptosis and liver inflammation.","Liver mRNA profiles of Ifnar1-/- ,Mavs-/- and Irf3S1/S1Ifnar1-/- mice 7 days or 14 days after HAV infection",34591933,,,459188,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/18,40,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE166nnn/GSE166353/,IRF3-mediated pathogenicity in a murine model of human hepatitis A.,PLoS pathogens,2021 Sep,10.1371/journal.ppat.1009960,Vivarium Control
36,GSM5993261,0.9995222091674805,GSE199899,mRNA transcription profiles of livers and tumors from C57BL/6J mice treated with or without diethylnitrosamine (DEN) and fed either a Western-style diet (WD) or Control diet (CD),,,"We used RNA-seq to measure mRNA levels of livers and liver tumors from mice treated with or without the chemical carcinogen diethylnitrosamine (DEN) and fed CD or obesogenic WD, with the aim to explore how metabolism in hepatic tissues and tumors (where present) is affected by diet, carcinogen treatment and tumor development. We used the RNA-seq data for differential gene expression analysis, and for the reconstruction and constraining of genome-scale metabolic models in order to estimate metabolic changes across tissues under the various treatment conditions.","Four experimental groups: [1]: nonDEN-CD (mice not injected with DEN, fed CD); [2]: nonDEN-WD (mice not injected with DEN, fed WD); [3]: DEN-CD (mice injected with DEN, fed CD); [4] DEN-WD (mice injected with DEN, fed WD and bearing liver tumors) Five types of tissues (i-v) analyzed from groups 1-4: (i) Group [1] liver; (ii) Group [2] liver; (iii) Group [3] liver; (iv) Group [4]-Peritumoral tissue; (v) Group [4] tumor",36844450,,,619266,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/01,25,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199899/,Systematic diet composition swap in a mouse genome-scale metabolic model reveals determinants of obesogenic diet metabolism in liver cancer.,iScience,2023 Feb 17,10.1016/j.isci.2023.106040,Vivarium Control
37,GSM2327520,0.9995216727256775,GSE87299,Transcriptome changes in mouse livers upon Bmal1 or Nr1d1 knock out and interactome of lnc-Crot by 4C-seq,,,"To explore the circadian regulations of Bmal1, we examined the transcriptome changes in mouse livers upon Bmal1 knock out at two circadian time points, CT0 and CT12. To explore the circadian regulations of Nr1d1, we examined the transcriptome changes in mouse livers upon Nr1d1 knock out at two circadian time points, CT0 and CT12. To explore interactome of lnc-Crot, 4C-seq was performed with lnc-Crot as bait region at CT6 and CT18.",RNA-seq of WT and KO at CT0 and CT12. 4C-seq at CT6 and CT18.,28335007,,,77558,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing; Other,2017/04/12,26,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87299/,A class of circadian long non-coding RNAs mark enhancers modulating long-range circadian gene regulation.,Nucleic acids research,2017 Jun 2,10.1093/nar/gkx156,Vivarium Control
38,GSM8187357,0.9995197653770447,GSE263190,Effect of whole-body deletion of Gclc on the liver,,,"The rate-limiting step in glutathione (GSH) synthesis is controlled by glutamate-cysteine ligase catalytic subunit. To investigate the impact of GSH in vivo, we induced a deletion of Gclc using a Gclcf/f Rosa26-CreERT2 mouse model and harvested liver tissue for analysis.",Liver tissue was harvested from WT and KO mice approximately two weeks after treatment with tamoxifen to induce Cre activity and Gclc deletion.,39034312,,,854536,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/29,32,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE263nnn/GSE263190/,Glutathione synthesis in the mouse liver supports lipid abundance through NRF2 repression.,Nature communications,2024 Jul 21,10.1038/s41467-024-50454-2,Vivarium Control
39,GSM8187355,0.9995197653770447,GSE263190,Effect of whole-body deletion of Gclc on the liver,,,"The rate-limiting step in glutathione (GSH) synthesis is controlled by glutamate-cysteine ligase catalytic subunit. To investigate the impact of GSH in vivo, we induced a deletion of Gclc using a Gclcf/f Rosa26-CreERT2 mouse model and harvested liver tissue for analysis.",Liver tissue was harvested from WT and KO mice approximately two weeks after treatment with tamoxifen to induce Cre activity and Gclc deletion.,39034312,,,854534,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2024/05/29,32,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE263nnn/GSE263190/,Glutathione synthesis in the mouse liver supports lipid abundance through NRF2 repression.,Nature communications,2024 Jul 21,10.1038/s41467-024-50454-2,Vivarium Control
