,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
10,GSM2577078,0.9995589256286621,GSE97763,A context-specific cardiac Beta-catenin and GATA4 interaction influences TCF7L2 occupancy and remodels chromatin driving disease progression in the adult heart,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,29394407;36681760,,,110233,GPL17021; GPL13112,Mus musculus,GSE,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,2018/01/23,19,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97763/,A context-specific cardiac β-catenin and GATA4 interaction influences TCF7L2 occupancy and remodels chromatin driving disease progression in the adult heart.,Nucleic acids research,2018 Apr 6,10.1093/nar/gky049,Ground Control
11,GSM3431079,0.9995589256286621,GSE121300,Distinct TCF7L2 genomic occupancies discern chromatin states in the neonatal and diseased mammalian myocardium,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,,,,211863,GPL21103; GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2021/08/02,13,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121300/,,,,,Ground Control
12,GSM7437565,0.9994602203369141,GSE233829,TNRC18 recognizes H3K9me3 to mediate transposable elements silencing at ERV regions [T18-tissue RNA-Seq],,,"Trimethylation of histone H3 lysine 9 (H3K9me3) is critical for regulation of gene repression and heterochromatin formation, cell-fate determination, and organismal development. In particular, H3K9me3 provides an essential mechanism for silencing various transposon elements (TEs). However, previous studies showed that the canonical H3K9me3 readers (e.g. HP1 and MPP8) play rather limited roles in silencing endogenous retroviruses (ERVs), one of major TE classes in the mammalian genome. Here, we report that Trinucleotide Repeat Containing 18 (TNRC18), a previously under-studied chromatin regulator, recognizes H3K9me3 and directly binds ERVs, mediating ERV silencing. Our biochemical, biophysical and structural studies identified the C-terminal Bromo Adjacent Homology (BAH) domain of TNRC18 (TNRC18BAH) as a H3K9me3-specific reader, and its N-terminal segment as a platform for direct recruitment of co-repressors such as TRIM28 and HDAC-Sin3-NCoR complexes, thereby enforcing optimal repression of the H3K9me3-demarcated ERVs. Point mutagenesis that disrupts the TNRC18BAH-mediated H3K9me3 engagement caused neonatal lethality in mice and, in multiple mammalian cell models, led to de-repressed expression of ERVs, affecting the landscape of cis-regulatory elements and thus gene-expression programs. Collectively, this study describes a previously-unknown TNRC18BAH-directed H3K9me3-sensing pathway, which operates to epigenetically silence the evolutionarily young ERVs, thereby exerting profound impacts on host genome integrity, transcriptomic regulation, immunity, and development.","To assess the function of the TNRC18-BAH domain in different organs, we isolated the primary tissues, namely, the lung, liver, heart, stomach and brain, from adult WT mice (n =2) and the paired littermates carrying Tnrc18-BAH homozygous mutation (W2745A/Y2747A; n=3), followed by preparation of total RNA samples and RNA-sequencing (n=2 duplicates per sample).  The processing of transcriptomic profiles used two different methods for analysis of either regular genes or transposable elements (TEs).",37938770,,,791806,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/07/24,50,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233829/,TNRC18 engages H3K9me3 to mediate silencing of endogenous retrotransposons.,Nature,2023 Nov,10.1038/s41586-023-06688-z,Ground Control
13,GSM2577081,0.9994342923164368,GSE97763,A context-specific cardiac Beta-catenin and GATA4 interaction influences TCF7L2 occupancy and remodels chromatin driving disease progression in the adult heart,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,29394407;36681760,,,110236,GPL17021; GPL13112,Mus musculus,GSE,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,2018/01/23,19,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97763/,A context-specific cardiac β-catenin and GATA4 interaction influences TCF7L2 occupancy and remodels chromatin driving disease progression in the adult heart.,Nucleic acids research,2018 Apr 6,10.1093/nar/gky049,Ground Control
14,GSM3431082,0.9994342923164368,GSE121300,Distinct TCF7L2 genomic occupancies discern chromatin states in the neonatal and diseased mammalian myocardium,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,,,,211866,GPL21103; GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2021/08/02,13,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121300/,,,,,Ground Control
15,GSM7890249,0.999409556388855,GSE247457,Effect of HDAC1/2 Inhibitor compound 60 (Cmpd60) on multiple organ systems in aged Mice,,,"In the current work, we performed multiple in silico drug screens using transcriptional profiles of 2837 small molecules testing their ability to mimic known genetic longevity interventions. We identified one compound that was most commonly found to mimic the transcriptional profile of the genetic longevity interventions. This benzamide-based small molecule, termed compound 60 (Cmpd60; aka Merck60 or BRD 692), is a selective histone deacetylase 1 and 2 (HDAC1/2) inhibitor.  Here, we used a combination of molecular, phenotypic, and bioinformatic analyses in multiple disease cell models and mouse models for age-related disease to establish if Cmpd60 acts as a geroprotector.","Aged mice: Natural aged, approx. 20 months old, male BL6 mice were acquired from Taconic and single housed under a 12:12-hour light-dark cycle in a room set to 23°C (+/- 0.2°C). All animals were fed a regular chow diet. Mice received daily i.p. injections with either Cmpd60 (n=6) or vehicle (n=7) for 14 days total. Body weight was monitored every 5 days to adjust i.p. volumes to body weight. Cmpd60 treated animals received a dose of 22.5 mg/kg with an i.p. volume of 7.5 ml/kg. Cmpd60 was dissolved in 2% DMSO, 49% PEG400, and 49% saline solution (= vehicle) resulting in a 3 mg/ml concentration. APPSWE-1349 mice: The APPSWE-1349 mice62 (BL6 background) were acquired from Taconic. The transgenic mice possess a transgene coding for the 695-amino acid isoform of human Alzheimer β-amyloid (Aβ) precursor protein carrying the Swedish mutation. Animals (~6-7 months old) were single housed under a 12:12-hour light-dark cycle in a room set to 23°C (+/- 0.2°C). All animals were fed a regular chow diet. Mice received daily i.p. injections with either Cmpd60 (n=12) or vehicle (n=12) for 14 days total. Body weight was monitored every 5 days to adjust i.p. volumes to body weight. Cmpd60 treated animals received a dose of 22.5 mg/kg with an i.p. volume of 7.5 ml/kg. Cmpd60 was dissolved in 2% DMSO, 49% PEG400, and 49% saline solution (= vehicle) resulting in a 3 mg/ml concentration.",38269100,,,832991,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/11/13,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247457/,HDAC1/2 inhibitor therapy improves multiple organ systems in aged mice.,iScience,2024 Jan 19,10.1016/j.isci.2023.108681,Ground Control
16,GSM6234259,0.9993882179260254,GSE205838,Disrupted propionate metabolism evokes transcriptional changes in the heart by increasing histone acetylation and propionylation,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,38500966,,,652705,GPL24247; GPL25947; GPL19057; GPL20084,Rattus norvegicus; Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2023/09/28,41,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205838/,Disrupted propionate metabolism evokes transcriptional changes in the heart by increasing histone acetylation and propionylation.,Nature cardiovascular research,2023 Dec,10.1038/s44161-023-00365-0,Ground Control
17,GSM6234268,0.9993231892585754,GSE205838,Disrupted propionate metabolism evokes transcriptional changes in the heart by increasing histone acetylation and propionylation,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,38500966,,,652714,GPL24247; GPL25947; GPL19057; GPL20084,Rattus norvegicus; Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2023/09/28,41,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205838/,Disrupted propionate metabolism evokes transcriptional changes in the heart by increasing histone acetylation and propionylation.,Nature cardiovascular research,2023 Dec,10.1038/s44161-023-00365-0,Ground Control
18,GSM5159876,0.9993163347244263,GSE168717,tableNONMMUT140591.1 may serve as a ceRNA to regulate Gata5 in UT-B knockout-induced cardiac conduction block,,,"Objective: We intended to explore the potential molecular mechanisms underlying cardiac conduction block inducted by UT-B deletion at the transcriptome level. Methods: The heart tissues were harvested from UT-B null mice and age-matched wild-type mice for lncRNA sequencing analysis. Based on the sequencing data, the differentially expressed mRNAs (DEMs) and lncRNAs (DELs) between UT-B knockout and control groups were identified, followed by function analysis and mRNA-lncRNA co-expression analysis. The miRNAs were predicted, and then the competing endogenous RNA (ceRNA) network was constructed. Results: UT-B deletion results in the aberrant expression of 588 lncRNAs and 194 mRNAs. These DEMs were significantly enriched in inflammation-related pathway. A lncRNA-mRNA co-expression network and a ceRNA network was constructed on the basis of the DEMs and DELs. C7 (complement C7)-NONMMUT137216.1 co-expression pair had the highest correlation coefficient in the co-expression network. NONMMUT140591.1 had the highest degree in ceRNA network and involved in ceRNA of NONMMUT140591.1-mmu-miR-298-5p-Gata5 (GATA binding protein 5). Conclusion: UT-B deletion may promote cardiac conduction block via inflammatory process. The ceRNA NONMMUT140591.1-mmu-miR-298-5p-Gata5 may be a potential molecular mechanism of UT-B knockout-induced cardiac conduction block.",Retinal mRNA profiles of 16 weeks old UT-B+/+ and UT-B-/- mice,,,,475246,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,2021/03/12,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168717/,,,,,Ground Control
19,GSM6234253,0.9993135929107666,GSE205838,Disrupted propionate metabolism evokes transcriptional changes in the heart by increasing histone acetylation and propionylation,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,38500966,,,652699,GPL24247; GPL25947; GPL19057; GPL20084,Rattus norvegicus; Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2023/09/28,41,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205838/,Disrupted propionate metabolism evokes transcriptional changes in the heart by increasing histone acetylation and propionylation.,Nature cardiovascular research,2023 Dec,10.1038/s44161-023-00365-0,Ground Control
